DATE,VIX,New_Stock_Price,LCR,Net_income,Cost_income_ratio,ROE,CET1_ratio,CDS_Spread
2018-02-11,29.06,17.56,208.18,694.24,73.41,6.74,12.86,54.92
2018-02-12,25.61,17.62,207.88,690.31,74.35,6.73,12.9,58.89
2018-02-13,24.97,17.68,207.69,695.64,73.5,6.73,12.9,57.4
2018-02-14,19.26,18.66,206.46,690.81,73.93,6.74,12.87,58.4
2018-02-15,19.13,18.74,207.25,699.38,74.5,6.7,12.94,54.91
2018-02-16,19.46,18.78,207.52,691.28,74.12,6.72,12.83,54.42
2018-02-17,19.46,18.78,209.1,692.88,73.7,6.69,12.89,54.42
2018-02-18,19.46,18.78,208.36,696.82,73.83,6.71,12.91,54.42
2018-02-19,19.46,18.78,206.17,689.73,74.35,6.7,12.93,52.42
2018-02-20,20.6,18.6,208.34,694.79,73.83,6.7,12.95,53.92
2018-02-21,20.02,18.59,207.6,698.54,74.18,6.72,12.83,55.91
2018-02-22,18.72,18.56,207.3,688.42,74.12,6.67,12.8,55.41
2018-02-23,16.49,18.72,208.64,694.64,73.86,6.77,12.98,56.42
2018-02-24,16.49,18.72,209.07,694.9,74.89,6.67,12.92,56.42
2018-02-25,16.49,18.72,208.97,696.71,74.33,6.66,12.85,56.42
2018-02-26,15.8,18.76,207.13,689.71,73.35,6.74,13.0,57.92
2018-02-27,18.59,18.74,207.68,689.42,74.17,6.73,12.91,56.42
2018-02-28,19.85,18.36,208.34,695.81,73.85,6.72,12.98,55.92
2018-03-01,22.47,18.06,209.01,695.03,74.42,6.72,12.9,57.41
2018-03-02,19.59,17.94,207.5,694.87,73.81,6.7,13.03,57.41
2018-03-03,19.59,17.94,207.81,695.2,74.06,6.67,13.01,57.41
2018-03-04,19.59,17.94,206.85,691.64,74.29,6.7,12.88,57.41
2018-03-05,18.73,17.98,206.76,694.81,74.42,6.68,12.96,57.41
2018-03-06,18.36,18.14,208.85,695.02,73.66,6.73,12.94,57.41
2018-03-07,17.76,18.13,209.41,691.52,73.98,6.7,12.99,57.41
2018-03-08,16.54,18.13,207.93,700.47,73.92,6.67,12.84,57.41
2018-03-09,14.64,18.22,209.04,695.64,73.86,6.69,12.94,57.41
2018-03-10,14.64,18.22,208.38,689.87,74.75,6.71,12.97,57.41
2018-03-11,14.64,18.22,207.33,696.28,74.25,6.68,12.79,57.41
2018-03-12,15.78,18.38,208.38,690.62,73.63,6.67,12.82,57.41
2018-03-13,16.35,18.07,209.6,696.73,74.44,6.71,12.77,57.41
2018-03-14,17.23,18.03,207.96,698.02,74.89,6.71,12.88,57.41
2018-03-15,16.59,18.12,209.63,691.15,74.48,6.68,12.95,57.41
2018-03-16,15.8,18.25,205.28,697.34,73.54,6.68,13.0,57.41
2018-03-17,15.8,18.25,208.85,695.43,73.92,6.71,12.9,57.41
2018-03-18,15.8,18.25,208.09,696.85,74.57,6.65,13.01,57.41
2018-03-19,19.02,18.05,207.69,700.58,73.84,6.65,12.81,57.41
2018-03-20,18.2,18.06,208.1,693.15,74.26,6.68,12.79,57.41
2018-03-21,17.86,17.64,205.93,691.38,74.39,6.69,12.9,57.41
2018-03-22,23.34,16.9,207.77,690.91,73.76,6.71,12.92,57.41
2018-03-23,24.87,16.65,208.37,691.17,74.08,6.75,12.9,57.41
2018-03-24,24.87,16.65,209.54,693.73,72.9,6.73,12.77,57.41
2018-03-25,24.87,16.65,207.46,695.18,73.72,6.69,12.89,57.41
2018-03-26,21.03,16.87,207.16,694.96,74.01,6.7,12.82,72.84
2018-03-27,22.5,16.55,207.48,696.87,73.64,6.67,12.94,72.84
2018-03-28,22.87,16.58,208.95,694.05,74.7,6.7,12.92,72.84
2018-03-29,19.97,16.79,208.34,699.04,73.57,6.69,12.84,72.84
2018-03-30,19.97,16.79,207.45,693.08,73.94,6.71,12.87,70.67
2018-03-31,19.97,16.79,208.0,694.0,74.1,6.7,12.9,70.67
2018-04-01,19.97,16.79,209.19,698.49,73.49,6.71,12.97,70.67
2018-04-02,23.62,16.45,207.37,684.39,74.4,6.67,12.86,71.35
2018-04-03,21.1,16.47,209.12,689.69,74.13,6.65,12.99,71.35
2018-04-04,20.06,16.3,208.24,693.94,73.62,6.68,13.04,72.34
2018-04-05,18.94,16.49,208.16,690.71,73.62,6.63,12.87,72.84
2018-04-06,21.49,16.16,209.08,692.19,73.98,6.67,12.86,68.87
2018-04-07,21.49,16.16,208.31,688.29,74.72,6.6,12.99,68.87
2018-04-08,21.49,16.16,209.01,690.17,74.0,6.68,12.99,68.87
2018-04-09,21.77,16.24,208.53,688.81,73.54,6.66,12.86,69.38
2018-04-10,20.47,16.53,212.02,692.89,74.01,6.64,12.86,67.88
2018-04-11,20.24,16.33,210.21,689.2,74.0,6.66,12.87,67.38
2018-04-12,18.49,16.48,209.65,688.97,73.1,6.68,12.8,67.88
2018-04-13,17.41,16.37,210.79,685.86,74.08,6.65,12.83,64.41
2018-04-14,17.41,16.37,210.65,685.08,74.01,6.55,12.82,64.41
2018-04-15,17.41,16.37,210.74,684.75,74.36,6.56,12.83,64.41
2018-04-16,16.56,16.37,211.8,687.11,74.79,6.57,12.88,63.42
2018-04-17,15.25,16.46,212.15,683.76,74.52,6.59,12.9,61.92
2018-04-18,15.6,16.44,211.01,685.71,74.0,6.6,12.98,61.92
2018-04-19,15.96,16.59,211.16,691.39,73.69,6.55,12.81,63.9
2018-04-20,16.88,16.56,211.67,686.69,75.05,6.57,12.94,63.41
2018-04-21,16.88,16.56,209.76,682.02,74.12,6.54,12.86,63.41
2018-04-22,16.88,16.56,210.78,686.81,74.11,6.53,12.87,63.41
2018-04-23,16.34,16.54,213.97,680.7,74.09,6.5,12.92,62.43
2018-04-24,18.02,16.29,214.46,674.53,74.17,6.51,12.8,62.42
2018-04-25,17.84,16.97,212.69,677.59,74.05,6.49,12.9,62.43
2018-04-26,16.24,17.16,213.74,674.08,73.89,6.5,12.88,62.91
2018-04-27,15.41,16.97,213.66,678.84,73.9,6.56,12.9,60.93
2018-04-28,15.41,16.97,216.74,679.6,74.09,6.48,12.89,60.93
2018-04-29,15.41,16.97,214.9,684.84,73.9,6.6,13.03,60.93
2018-04-30,15.93,16.77,213.8,679.64,73.84,6.52,12.83,62.42
2018-05-01,15.49,16.68,213.14,677.23,74.14,6.5,12.83,62.42
2018-05-02,15.97,16.61,212.66,680.35,74.01,6.46,12.82,65.4
2018-05-03,15.9,16.52,214.74,669.28,74.66,6.51,12.83,63.39
2018-05-04,14.77,16.34,213.94,677.26,73.12,6.46,12.82,67.38
2018-05-05,14.77,16.34,213.44,678.6,74.5,6.47,12.94,67.38
2018-05-06,14.77,16.34,214.45,670.28,74.56,6.55,12.95,67.38
2018-05-07,14.75,16.46,214.19,678.86,73.33,6.45,12.82,66.38
2018-05-08,14.71,16.52,217.27,675.55,73.97,6.49,12.8,66.38
2018-05-09,13.42,16.76,216.63,672.42,73.96,6.42,12.89,66.38
2018-05-10,13.23,16.79,215.9,675.54,73.58,6.44,12.82,66.88
2018-05-11,12.65,16.99,217.65,680.7,73.81,6.49,12.9,64.4
2018-05-12,12.65,16.99,216.39,672.94,73.69,6.4,12.87,64.4
2018-05-13,12.65,16.99,215.61,672.65,74.75,6.48,12.75,64.4
2018-05-14,12.93,16.88,218.29,669.68,74.45,6.43,12.95,62.91
2018-05-15,14.63,16.84,217.46,667.81,74.57,6.38,12.97,61.42
2018-05-16,13.42,16.73,216.02,673.12,74.37,6.42,12.81,62.42
2018-05-17,13.43,16.73,217.1,666.75,73.68,6.42,12.82,64.4
2018-05-18,13.42,16.63,216.58,669.46,73.91,6.4,12.87,65.39
2018-05-19,13.42,16.63,216.25,667.03,74.28,6.32,12.87,65.39
2018-05-20,13.42,16.63,218.85,669.84,73.65,6.35,12.89,65.39
2018-05-21,13.08,16.65,220.07,668.82,74.36,6.36,12.97,68.87
2018-05-22,13.22,16.92,216.83,670.74,74.01,6.35,12.83,71.35
2018-05-23,12.58,16.6,219.07,664.86,73.96,6.37,12.79,69.86
2018-05-24,12.53,16.32,218.0,665.17,74.36,6.35,12.75,70.86
2018-05-25,13.22,16.29,218.37,662.2,74.26,6.29,12.79,75.32
2018-05-26,13.22,16.29,218.46,663.54,73.97,6.34,12.84,75.32
2018-05-27,13.22,16.29,218.38,665.87,74.53,6.34,12.95,75.32
2018-05-28,13.22,16.29,219.52,666.67,73.7,6.34,12.8,77.79
2018-05-29,17.02,15.26,218.81,660.33,74.33,6.35,12.85,77.78
2018-05-30,14.94,15.54,220.15,666.03,74.32,6.33,12.83,87.68
2018-05-31,15.43,15.4,220.01,667.2,73.99,6.31,12.91,82.74
2018-06-01,13.46,15.62,220.02,663.41,74.22,6.29,12.99,82.74
2018-06-02,13.46,15.62,219.52,667.97,73.64,6.23,12.8,82.74
2018-06-03,13.46,15.62,220.06,658.26,74.44,6.29,12.8,82.74
2018-06-04,12.74,15.69,221.64,656.11,74.03,6.28,12.9,78.29
2018-06-05,12.4,15.33,221.58,653.74,73.91,6.27,12.87,72.83
2018-06-06,11.64,15.58,220.24,664.59,74.49,6.22,12.95,75.81
2018-06-07,12.13,15.53,221.55,661.15,73.84,6.22,12.86,75.81
2018-06-08,12.18,15.39,222.43,658.17,73.58,6.28,12.8,87.67
2018-06-09,12.18,15.39,220.11,658.82,73.52,6.24,12.86,87.67
2018-06-10,12.18,15.39,222.61,653.42,74.32,6.25,12.89,87.67
2018-06-11,12.35,15.87,221.55,665.3,73.63,6.23,12.87,90.13
2018-06-12,12.34,15.78,223.03,656.75,74.75,6.22,12.85,85.19
2018-06-13,12.94,15.69,221.84,656.16,73.33,6.24,12.89,85.19
2018-06-14,12.12,15.68,220.96,657.78,74.73,6.19,12.89,82.22
2018-06-15,11.98,15.42,221.34,656.42,74.18,6.2,12.91,78.76
2018-06-16,11.98,15.42,223.28,655.01,74.06,6.18,12.86,78.76
2018-06-17,11.98,15.42,223.7,650.97,73.9,6.17,12.8,78.76
2018-06-18,12.31,15.22,222.69,654.83,74.25,6.17,12.82,78.76
2018-06-19,13.35,15.12,224.49,659.21,74.09,6.18,12.89,81.72
2018-06-20,12.79,15.2,222.29,656.83,74.51,6.15,12.76,80.24
2018-06-21,14.64,15.02,224.15,657.18,74.14,6.2,12.83,79.25
2018-06-22,13.77,15.42,223.16,649.36,74.16,6.12,12.78,82.72
2018-06-23,13.77,15.42,223.94,647.18,73.97,6.14,12.81,82.72
2018-06-24,13.77,15.42,224.86,649.66,74.08,6.12,12.89,82.72
2018-06-25,17.33,15.0,224.12,649.78,74.21,6.18,12.82,82.72
2018-06-26,15.92,14.97,224.81,652.86,73.47,6.13,12.81,87.66
2018-06-27,17.91,14.73,226.45,642.68,73.6,6.15,12.72,87.16
2018-06-28,16.85,14.84,225.0,653.34,74.38,6.06,12.85,87.66
2018-06-29,16.09,14.88,226.67,646.97,74.16,6.12,12.84,91.11
2018-06-30,16.09,14.88,226.0,647.0,74.1,6.1,12.8,91.11
2018-07-01,16.09,14.88,225.99,646.83,73.42,6.08,12.86,91.11
2018-07-02,15.6,14.85,225.76,643.43,74.55,6.01,12.75,87.16
2018-07-03,16.14,14.87,227.0,642.62,74.4,6.01,12.72,75.26
2018-07-04,16.14,14.87,224.85,639.36,74.7,6.02,12.69,87.65
2018-07-05,14.97,15.0,225.01,638.28,73.31,5.94,12.84,86.67
2018-07-06,13.37,15.03,225.12,630.73,75.22,5.98,12.74,85.68
2018-07-07,13.37,15.03,224.38,634.29,74.45,5.94,12.67,85.68
2018-07-08,13.37,15.03,223.41,628.25,74.97,5.93,12.83,85.68
2018-07-09,12.69,15.35,223.87,631.9,74.23,5.9,12.97,84.69
2018-07-10,12.64,15.21,224.6,620.53,74.9,5.91,12.81,82.71
2018-07-11,13.63,14.85,221.97,625.95,74.34,5.85,12.87,81.72
2018-07-12,12.58,14.81,223.02,618.55,74.56,5.81,12.82,82.71
2018-07-13,12.18,14.81,221.82,613.38,75.56,5.81,12.81,78.75
2018-07-14,12.18,14.81,223.7,611.5,74.84,5.8,12.87,78.75
2018-07-15,12.18,14.81,220.37,609.6,75.04,5.76,12.8,78.75
2018-07-16,12.83,15.24,221.19,609.59,75.34,5.74,12.83,76.77
2018-07-17,12.06,15.14,221.99,607.48,75.26,5.69,12.84,74.29
2018-07-18,12.1,15.27,223.07,601.51,75.19,5.67,12.78,73.3
2018-07-19,12.87,15.19,220.97,600.87,75.33,5.62,12.88,74.78
2018-07-20,12.86,15.25,220.16,605.45,76.14,5.7,12.81,77.76
2018-07-21,12.86,15.25,222.65,601.69,75.29,5.58,12.77,77.76
2018-07-22,12.86,15.25,218.62,595.09,75.44,5.58,12.86,77.76
2018-07-23,12.62,15.43,217.52,591.37,75.81,5.55,12.77,77.76
2018-07-24,12.41,15.68,220.24,589.21,75.89,5.58,12.83,76.28
2018-07-25,12.29,15.69,218.91,588.39,75.98,5.52,12.83,75.29
2018-07-26,12.14,15.58,218.06,580.67,75.83,5.54,12.9,75.32
2018-07-27,13.03,15.69,219.76,580.72,75.23,5.46,12.86,71.86
2018-07-28,13.03,15.69,218.97,573.73,76.32,5.47,12.83,71.86
2018-07-29,13.03,15.69,217.8,578.0,75.35,5.41,12.88,71.86
2018-07-30,14.26,15.84,216.73,576.38,75.94,5.48,12.92,72.85
2018-07-31,12.83,16.06,218.9,570.3,75.61,5.36,12.87,73.84
2018-08-01,13.15,16.02,218.39,574.53,75.92,5.38,12.84,69.89
2018-08-02,12.19,15.9,217.28,563.05,76.12,5.37,12.75,70.38
2018-08-03,11.64,15.79,219.22,559.85,76.18,5.34,12.77,71.37
2018-08-04,11.64,15.79,215.66,562.89,76.27,5.3,12.82,71.37
2018-08-05,11.64,15.79,214.88,563.13,76.77,5.27,12.8,71.37
2018-08-06,11.27,15.6,215.57,562.76,76.4,5.26,12.83,71.86
2018-08-07,10.93,15.77,216.04,553.41,76.2,5.23,12.84,70.88
2018-08-08,10.85,15.79,216.1,555.96,76.7,5.24,12.88,65.94
2018-08-09,11.27,15.67,215.29,549.92,76.85,5.25,12.84,65.94
2018-08-10,13.16,15.27,215.7,547.06,76.01,5.15,12.88,67.91
2018-08-11,13.16,15.27,213.63,548.05,76.74,5.1,12.85,67.91
2018-08-12,13.16,15.27,216.41,544.88,76.84,5.12,12.72,67.91
2018-08-13,14.78,15.0,214.43,535.25,76.52,5.17,12.79,70.38
2018-08-14,13.31,15.09,215.52,542.7,77.2,5.05,12.84,72.85
2018-08-15,14.64,14.87,214.39,539.96,76.69,5.1,12.77,71.86
2018-08-16,13.45,14.83,214.26,531.05,76.85,5.08,12.89,72.85
2018-08-17,12.64,14.81,214.12,531.93,76.8,4.99,12.95,72.85
2018-08-18,12.64,14.81,213.72,529.83,76.93,5.0,12.93,72.85
2018-08-19,12.64,14.81,213.68,526.65,76.57,5.01,12.84,72.85
2018-08-20,12.49,14.86,214.2,521.6,76.5,4.92,12.95,71.86
2018-08-21,12.86,15.06,212.66,518.78,77.69,4.91,12.87,70.38
2018-08-22,12.25,14.95,212.98,518.45,76.84,4.87,12.84,68.9
2018-08-23,12.41,14.88,211.81,519.9,76.84,4.84,12.82,66.89
2018-08-24,11.99,14.95,213.28,515.44,76.47,4.82,12.84,67.88
2018-08-25,11.99,14.95,210.63,510.06,77.09,4.78,12.84,67.88
2018-08-26,11.99,14.95,213.17,511.33,76.89,4.8,12.87,67.88
2018-08-27,12.16,15.17,210.82,497.2,78.05,4.75,12.87,67.89
2018-08-28,12.5,15.17,208.99,507.71,77.87,4.76,12.86,67.89
2018-08-29,12.25,15.25,210.49,495.94,77.3,4.68,12.89,67.88
2018-08-30,13.53,15.05,209.32,497.97,78.45,4.72,12.94,67.88
2018-08-31,12.86,14.95,210.78,493.1,78.04,4.71,12.93,70.35
2018-09-01,12.86,14.95,208.83,490.11,77.61,4.6,12.77,70.35
2018-09-02,12.86,14.95,208.8,495.62,76.86,4.65,12.71,70.35
2018-09-03,12.86,14.95,206.91,487.93,78.69,4.65,12.93,70.35
2018-09-04,13.16,15.11,208.27,488.14,77.39,4.56,12.78,70.35
2018-09-05,13.91,15.09,205.78,484.45,77.35,4.62,12.86,68.86
2018-09-06,14.65,15.02,206.47,483.72,78.4,4.56,12.8,67.87
2018-09-07,14.88,14.85,208.86,480.0,78.98,4.5,12.76,67.87
2018-09-08,14.88,14.85,208.63,473.18,78.65,4.5,12.91,67.87
2018-09-09,14.88,14.85,207.96,478.13,78.4,4.5,12.93,67.87
2018-09-10,14.16,14.84,206.12,470.88,78.47,4.46,12.84,65.4
2018-09-11,13.22,14.93,206.9,465.02,78.62,4.45,12.71,62.92
2018-09-12,13.14,14.78,206.69,466.25,78.64,4.38,12.85,62.92
2018-09-13,12.37,14.94,205.13,470.06,78.52,4.39,12.91,62.91
2018-09-14,12.07,14.94,207.87,465.53,78.52,4.32,12.79,61.92
2018-09-15,12.07,14.94,206.9,459.23,78.51,4.34,12.9,61.92
2018-09-16,12.07,14.94,205.4,456.8,78.31,4.29,12.88,61.92
2018-09-17,13.68,15.06,205.42,454.47,78.55,4.27,12.92,62.91
2018-09-18,12.79,15.09,205.37,459.81,78.08,4.31,12.89,61.42
2018-09-19,11.75,15.4,202.56,451.9,78.73,4.28,12.83,61.91
2018-09-20,11.8,15.87,204.33,449.63,78.46,4.25,12.97,67.6
2018-09-21,11.68,15.94,203.58,449.15,78.47,4.17,12.88,66.92
2018-09-22,11.68,15.94,202.96,444.16,79.01,4.17,12.89,66.92
2018-09-23,11.68,15.94,203.51,440.13,79.51,4.2,12.83,66.92
2018-09-24,12.2,15.69,205.6,437.91,79.39,4.14,12.87,66.93
2018-09-25,12.42,15.64,204.03,435.89,78.53,4.18,12.84,66.93
2018-09-26,12.89,15.55,202.4,433.58,78.8,4.1,12.88,66.93
2018-09-27,12.41,15.39,203.43,433.63,79.58,4.07,13.01,66.93
2018-09-28,12.12,14.94,204.1,429.02,78.92,4.04,12.81,66.43
2018-09-29,12.12,14.94,203.31,428.79,79.26,4.03,12.8,66.43
2018-09-30,12.12,14.94,202.0,424.0,79.4,4.0,12.9,66.43
2018-10-01,12.0,14.88,201.13,423.51,78.45,3.98,12.91,67.91
2018-10-02,12.05,14.61,202.66,423.67,79.77,3.98,12.96,67.92
2018-10-03,11.61,14.67,200.8,418.4,79.72,3.98,12.72,68.91
2018-10-04,14.22,14.56,203.06,417.98,79.32,3.92,12.93,67.91
2018-10-05,14.82,14.31,201.71,416.86,79.47,3.95,12.84,67.89
2018-10-06,14.82,14.31,200.33,413.73,79.66,3.94,12.76,67.89
2018-10-07,14.82,14.31,202.81,415.33,78.84,3.9,12.91,67.89
2018-10-08,15.69,14.17,199.82,412.27,79.26,3.84,12.96,68.88
2018-10-09,15.95,14.04,200.99,411.98,79.79,3.86,12.86,69.86
2018-10-10,22.96,13.76,200.35,407.77,78.99,3.88,12.93,68.88
2018-10-11,24.98,13.42,201.16,407.29,79.61,3.84,12.97,67.89
2018-10-12,21.31,13.5,201.23,408.31,78.97,3.81,12.95,70.86
2018-10-13,21.31,13.5,199.49,404.56,79.7,3.81,12.96,70.86
2018-10-14,21.31,13.5,198.5,407.57,79.51,3.82,12.9,70.86
2018-10-15,21.3,13.52,199.53,401.63,78.89,3.8,12.86,70.86
2018-10-16,17.62,13.59,198.19,401.52,80.0,3.77,12.74,70.85
2018-10-17,17.4,13.58,200.71,401.59,79.26,3.75,12.83,70.85
2018-10-18,20.06,13.15,198.62,395.17,79.23,3.74,12.79,71.83
2018-10-19,19.89,13.14,197.91,393.01,79.64,3.71,12.98,74.81
2018-10-20,19.89,13.14,198.27,392.07,80.03,3.75,12.82,74.81
2018-10-21,19.89,13.14,196.53,396.55,79.18,3.7,12.84,74.81
2018-10-22,19.64,13.01,196.71,391.26,79.62,3.71,12.86,71.83
2018-10-23,20.71,12.85,198.71,396.42,79.77,3.71,12.83,70.35
2018-10-24,25.23,12.25,196.64,388.37,79.88,3.68,12.93,71.84
2018-10-25,24.22,12.46,196.05,388.52,79.69,3.64,12.78,71.84
2018-10-26,24.16,12.48,197.46,389.96,79.48,3.64,12.83,71.84
2018-10-27,24.16,12.48,197.91,389.51,79.31,3.62,12.76,71.84
2018-10-28,24.16,12.48,197.25,388.2,79.68,3.59,12.72,71.84
2018-10-29,24.7,12.5,197.33,384.95,79.23,3.6,12.77,75.31
2018-10-30,23.35,12.81,195.37,383.13,78.5,3.55,12.8,73.82
2018-10-31,21.23,12.93,194.5,380.78,79.84,3.59,12.77,75.3
2018-11-01,19.34,12.92,197.26,379.74,80.04,3.54,12.75,72.84
2018-11-02,19.51,12.84,195.22,375.48,78.75,3.54,12.7,71.85
2018-11-03,19.51,12.84,195.09,373.48,79.29,3.53,12.78,71.85
2018-11-04,19.51,12.84,196.49,373.78,79.95,3.5,12.69,71.85
2018-11-05,19.96,12.76,195.52,371.99,80.53,3.5,12.83,70.38
2018-11-06,19.91,12.79,195.22,369.95,79.73,3.47,12.78,70.38
2018-11-07,16.36,13.05,196.75,370.95,79.44,3.48,12.68,71.85
2018-11-08,16.72,12.9,193.72,370.07,79.67,3.42,12.75,68.88
2018-11-09,17.36,12.83,195.11,366.8,80.29,3.44,12.72,71.85
2018-11-10,17.36,12.83,194.04,368.31,79.5,3.46,12.79,71.85
2018-11-11,17.36,12.83,194.05,361.32,79.45,3.39,12.85,71.85
2018-11-12,20.45,12.49,195.13,361.89,79.58,3.38,12.64,71.85
2018-11-13,20.02,12.51,193.9,359.35,79.4,3.39,12.76,73.82
2018-11-14,21.25,12.42,193.74,355.48,79.84,3.37,12.74,72.83
2018-11-15,19.98,12.42,194.08,357.82,80.44,3.36,12.79,73.83
2018-11-16,18.14,12.38,192.44,356.31,79.94,3.35,12.76,76.3
2018-11-17,18.14,12.38,191.76,358.34,79.72,3.33,12.69,76.3
2018-11-18,18.14,12.38,191.36,355.03,79.71,3.33,12.72,76.3
2018-11-19,20.1,12.3,190.23,350.09,79.21,3.3,12.69,81.11
2018-11-20,22.48,11.72,194.1,354.76,80.19,3.27,12.8,81.11
2018-11-21,20.8,11.96,190.71,351.98,79.82,3.28,12.73,83.21
2018-11-22,20.8,11.96,191.41,349.19,79.79,3.29,12.85,83.2
2018-11-23,21.52,11.79,191.16,346.04,81.14,3.23,12.72,83.2
2018-11-24,21.52,11.79,191.55,343.05,80.0,3.2,12.67,83.2
2018-11-25,21.52,11.79,191.87,342.86,79.59,3.23,12.62,83.2
2018-11-26,18.9,12.09,191.72,344.53,79.73,3.19,12.6,91.6
2018-11-27,19.02,11.93,190.06,344.78,80.36,3.14,12.61,88.64
2018-11-28,18.49,12.11,190.29,342.62,79.96,3.18,12.72,90.12
2018-11-29,18.79,11.93,190.55,336.88,79.35,3.14,12.74,90.12
2018-11-30,18.07,11.82,189.81,334.1,80.3,3.14,12.6,90.12
2018-12-01,18.07,11.82,191.49,335.34,79.67,3.13,12.76,90.12
2018-12-02,18.07,11.82,190.17,329.86,80.69,3.11,12.66,90.12
2018-12-03,16.44,12.09,190.22,332.86,80.39,3.11,12.7,90.12
2018-12-04,20.74,11.64,189.95,330.43,79.79,3.07,12.79,92.59
2018-12-05,20.74,11.64,190.27,328.32,80.48,3.08,12.74,92.59
2018-12-06,21.19,11.33,189.07,324.49,80.01,3.05,12.66,90.12
2018-12-07,23.23,11.11,187.39,327.52,80.33,3.05,12.62,92.59
2018-12-08,23.23,11.11,188.9,323.87,80.19,3.04,12.54,92.59
2018-12-09,23.23,11.11,187.65,321.08,79.67,2.99,12.63,92.59
2018-12-10,22.64,11.0,187.57,316.04,79.76,3.02,12.65,90.12
2018-12-11,21.76,10.92,188.51,320.64,80.43,2.97,12.6,90.12
2018-12-12,21.46,11.32,188.97,323.02,79.9,2.98,12.65,92.59
2018-12-13,20.65,11.26,187.54,321.35,79.88,2.96,12.66,92.59
2018-12-14,21.63,11.1,187.64,315.42,79.67,2.98,12.64,90.12
2018-12-15,21.63,11.1,188.85,313.68,80.23,2.92,12.61,90.12
2018-12-16,21.63,11.1,187.18,314.52,80.89,2.9,12.66,90.12
2018-12-17,24.52,10.94,189.37,309.97,79.65,2.9,12.67,92.59
2018-12-18,25.58,10.89,187.11,311.29,80.1,2.88,12.57,92.59
2018-12-19,25.58,10.72,184.57,310.84,80.66,2.89,12.73,92.59
2018-12-20,28.38,10.53,186.91,310.38,80.07,2.82,12.63,90.12
2018-12-21,30.11,10.51,186.34,306.14,80.29,2.82,12.63,92.59
2018-12-22,30.11,10.51,187.06,304.48,79.7,2.81,12.68,92.59
